venue_id,venue_name,issue_type,severity,field,current_value,suggested_fix,notes
29,Brutalist Tour â€“ Evening Architectural Walk (Architectour Guide),Location,CRITICAL,location,"Starts at the National Theatre, South Bank and ends near South Hampstead","Starts at the National Theatre, South Bank and ends near South Hampstead",'Starts at the National Theatre' not in approved neighborhoods list
33,Camden Art Centre â€“ Natural Dyes Workshop,Location,CRITICAL,location,"271 Dale Avenue, London NW3 6DG","271 Dale Avenue, London NW3 6DG",'271 Dale Avenue' not in approved neighborhoods list
37,Chickenshed Theatre,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
37,Chickenshed Theatre,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
42,Colour Factory,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
42,Colour Factory,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
49,Dice & Destiny Board Game Café,Location,CRITICAL,location,Canterbury (note: not London),Canterbury (note: not London),'Canterbury' not in approved neighborhoods list
50,Dino Snores for Grown Ups â€“ Natural History Museum Sleepover,Location,CRITICAL,location,"Natural History Museum, Cromwell Road, South Kensington","Natural History Museum, Cromwell Road, South Kensington",'Natural History Museum' not in approved neighborhoods list
51,Draughts – Board Game Café,Location,CRITICAL,location,Waterloo & Hackney,Waterloo,Contains compound delimiter (& or /)
51,Draughts – Board Game Café,Location,CRITICAL,location,Waterloo & Hackney,Waterloo & Hackney,'Waterloo & Hackney' not in approved neighborhoods list
52,Dusty Knuckle Bakery â€“ Fermentation Workshop,Location,CRITICAL,location,"The Dusty Knuckle School, Dalston (E8)","The Dusty Knuckle School, Dalston (E8)",'The Dusty Knuckle School' not in approved neighborhoods list
54,East London Strippers Collective Life Drawing,Location,CRITICAL,location,"The Crown & Shuttle, Shoreditch (East London)",The Crown,Contains compound delimiter (& or /)
54,East London Strippers Collective Life Drawing,Location,CRITICAL,location,"The Crown & Shuttle, Shoreditch (East London)","The Crown & Shuttle, Shoreditch (East London)",'The Crown & Shuttle' not in approved neighborhoods list
55,Eco-Somatic Movement Workshops – Katsura Isobe,Location,CRITICAL,location,"Chisenhale Dance Space, East London",Chisenhale Dance Space,Contains borough/area format
55,Eco-Somatic Movement Workshops – Katsura Isobe,Location,CRITICAL,location,"Chisenhale Dance Space, East London","Chisenhale Dance Space, East London",'Chisenhale Dance Space' not in approved neighborhoods list
56,Ecstatic Dance London â€“ The Ritual,Location,CRITICAL,location,Various London venues (often community halls and studios),Various London venues (often community halls and studios),'Various London venues' not in approved neighborhoods list
57,Ecstatic Dance UK â€“ Sunday Sessions,Location,CRITICAL,location,"The Baths, 80 Eastway, Hackney Wick E9 5JH","The Baths, 80 Eastway, Hackney Wick E9 5JH",'The Baths' not in approved neighborhoods list
60,Forage London â€“ Wild Food & Nature Walk (Tower Hamlets Cemetery Park),Location,CRITICAL,location,"Tower Hamlets Cemetery Park, Mile End (meet at Soanes Centre)","Tower Hamlets Cemetery Park, Mile End (meet at Soanes Centre)",'Tower Hamlets Cemetery Park' not in approved neighborhoods list
61,Forage London â€” Wild Food and Nature Walk (E3),Location,CRITICAL,location,"Tower Hamlets Cemetery Park, Mile End (E3)","Tower Hamlets Cemetery Park, Mile End (E3)",'Tower Hamlets Cemetery Park' not in approved neighborhoods list
62,Four Quarters,Location,CRITICAL,location,"Peckham, Hackney Wick, and Elephant & Castle","Peckham, Hackney Wick, and Elephant",Contains compound delimiter (& or /)
64,Freeweaver Studio,Location,CRITICAL,location,"Cordwainers Pop-Up, London Fields (E8)","Cordwainers Pop-Up, London Fields (E8)",'Cordwainers Pop-Up' not in approved neighborhoods list
65,Friends of Nunhead Cemetery â€“ Guided Tours & Bat Sighting Walks,Location,CRITICAL,location,"Nunhead Cemetery, Linden Grove (south London)","Nunhead Cemetery, Linden Grove (south London)",'Nunhead Cemetery' not in approved neighborhoods list
67,Gather Glass â€“ Glassblowing Classes,Location,CRITICAL,location,"Unit 4, Submarine Cable Depot, Warspite Road, Woolwich (SE18 5NX)","Unit 4, Submarine Cable Depot, Warspite Road, Woolwich (SE18 5NX)",'Unit 4' not in approved neighborhoods list
70,"Ghosts of the Old City â€“ Eldritch, Tenebrous London (London Walks)",Location,CRITICAL,location,"meets outside St Paulâ€™s Tube station, City of London","meets outside St Paulâ€™s Tube station, City of London",'meets outside St Paulâ€™s Tube station' not in approved neighborhoods list
71,Gia Como â€“ Bespoke Candle Making Workshop,Location,CRITICAL,location,"128 Shoreditch High Street, Shoreditch (E1 6JE)","128 Shoreditch High Street, Shoreditch (E1 6JE)",'128 Shoreditch High Street' not in approved neighborhoods list
72,Graeae Theatre Company,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
72,Graeae Theatre Company,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
73,Grand Junction Arms,Location,CRITICAL,location,North West London,North West London,'North West London' not in approved neighborhoods list
74,Grimoire Crafting with Hallowed Hollow,Location,CRITICAL,location,Studio in South East London (private venue),Studio in South East London,Contains borough/area format
74,Grimoire Crafting with Hallowed Hollow,Location,CRITICAL,location,Studio in South East London (private venue),Studio in South East London (private venue),'Studio in South East London' not in approved neighborhoods list
75,Grove Farm Bat Walk â€“ Ealing Wildlife Group,Location,CRITICAL,location,"Grove Farm Nature Reserve, Sudbury Hill (meeting point outside Sudbury Hill Tube)","Grove Farm Nature Reserve, Sudbury Hill (meeting point outside Sudbury Hill Tube)",'Grove Farm Nature Reserve' not in approved neighborhoods list
77,Hackney Herbal â€“ Herbal Wellbeing Masterclasses & Remedies Workshops,Location,CRITICAL,location,"Unit 16, Celia Fiennes House, 8â€“20 Well Street, Hackney (E9 7PX)","Unit 16, Celia Fiennes House, 8â€“20 Well Street, Hackney (E9 7PX)",'Unit 16' not in approved neighborhoods list
78,Half Moon Theatre,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
78,Half Moon Theatre,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
79,Hampstead Observatory Public Nights,Location,CRITICAL,location,"Hampstead Heath (lower entrance near Whitestone Pond), NW3","Hampstead Heath (lower entrance near Whitestone Pond), NW3",'Hampstead Heath' not in approved neighborhoods list
80,Heaven,Location,CRITICAL,location,Charing Cross,Charing Cross,'Charing Cross' not in approved neighborhoods list
82,Hidden London Tours â€“ London Transport Museum,Location,CRITICAL,location,"Disused Underground stations (Aldwych, Charing Cross, Clapham South, Baker Street etc.)","Disused Underground stations (Aldwych, Charing Cross, Clapham South, Baker Street etc.)",'Disused Underground stations' not in approved neighborhoods list
83,Highgate Cemetery After-Hours Tour (SAVE Britainâ€™s Heritage),Location,CRITICAL,location,"Highgate Cemetery, West Side (meet at main gate)","Highgate Cemetery, West Side (meet at main gate)",'Highgate Cemetery' not in approved neighborhoods list
84,Hiver Beers â€” Cider Making Workshop,Location,CRITICAL,location,"Hiver Taproom, Bermondsey (SE1)","Hiver Taproom, Bermondsey (SE1)",'Hiver Taproom' not in approved neighborhoods list
85,Holotropic Breathwork – Experiential Weekend,Location,CRITICAL,location,"Colet House, West London",Colet House,Contains borough/area format
85,Holotropic Breathwork – Experiential Weekend,Location,CRITICAL,location,"Colet House, West London","Colet House, West London",'Colet House' not in approved neighborhoods list
86,Hootananny Brixton,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
86,Hootananny Brixton,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
87,Horniman Museum and Gardens,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
87,Horniman Museum and Gardens,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
88,House of Burlesque Academy,Location,CRITICAL,location,Classes at Pineapple Dance Studios in Covent Garden and workshops across London,Classes at Pineapple Dance Studios in Covent Garden and workshops across London,'Classes at Pineapple Dance Studios in Covent Garden and workshops across London' not in approved neighborhoods list
89,Hundred Years Gallery,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
89,Hundred Years Gallery,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
91,Institute of Making (UCL) â€“ Papermaking Course,Location,CRITICAL,location,"UCL East Marshgate Building, Stratford","UCL East Marshgate Building, Stratford",'UCL East Marshgate Building' not in approved neighborhoods list
95,Kanpai London â€” Sake Tasting & DIY Sake Brewing,Location,CRITICAL,location,"Taproom & brewery under railway arches, Peckham (SE15)",Taproom,Contains compound delimiter (& or /)
95,Kanpai London â€” Sake Tasting & DIY Sake Brewing,Location,CRITICAL,location,"Taproom & brewery under railway arches, Peckham (SE15)","Taproom & brewery under railway arches, Peckham (SE15)",'Taproom & brewery under railway arches' not in approved neighborhoods list
96,Kelechnekoff Pole Dance Studio,Location,CRITICAL,location,"161 Sumner Road, Peckham SE15 6JL","161 Sumner Road, Peckham SE15 6JL",'161 Sumner Road' not in approved neighborhoods list
98,Kitchen Witchery at Made in Hackney,Location,CRITICAL,location,"Made in Hackney, 3-7 Lower Clapton Rd, London E5 0NS","Made in Hackney, 3-7 Lower Clapton Rd, London E5 0NS",'Made in Hackney' not in approved neighborhoods list
100,Liminal 11 â€“ Tarot & Mysticism Events,Location,CRITICAL,location,Various venues across London,Various venues across London,'Various venues across London' not in approved neighborhoods list
102,London Calligraphy,Location,CRITICAL,location,Various venues across London (often central hotels and studios),Various venues across London (often central hotels and studios),'Various venues across London' not in approved neighborhoods list
103,London Centre for Book Arts (LCBA),Location,CRITICAL,location,"Unit 18, Ground Floor, Britannia Works, Dace Road, Fish Island, E3 2NQ","Unit 18, Ground Floor, Britannia Works, Dace Road, Fish Island, E3 2NQ",'Unit 18' not in approved neighborhoods list
104,London Cheese Board â€“ Cheese & Wine Pairing Evenings,Location,CRITICAL,location,Elephant & Castle (SE1),Elephant,Contains compound delimiter (& or /)
105,London Night Photography Tour â€“ London Streets Photography,Location,CRITICAL,location,Central London landmarks (meeting point arranged with guide),Central London landmarks (meeting point arranged with guide),'Central London landmarks' not in approved neighborhoods list
106,London Smoke & Cure â€” Salami Sessions,Location,CRITICAL,location,"Smoke School Studio, Bermondsey (SE16)","Smoke School Studio, Bermondsey (SE16)",'Smoke School Studio' not in approved neighborhoods list
107,Love & Loss – Grief Tending Rituals,Location,CRITICAL,location,Various London locations,Various London locations,'Various London locations' not in approved neighborhoods list
108,Luna London â€“ Full Moon Gatherings & Workshops,Location,CRITICAL,location,Hackney & East London venues (varies),Hackney,Contains compound delimiter (& or /)
108,Luna London â€“ Full Moon Gatherings & Workshops,Location,CRITICAL,location,Hackney & East London venues (varies),Hackney & East London venues (varies),'Hackney & East London venues' not in approved neighborhoods list
110,Mash Paddle Brewery â€” Brew Your Own Beer,Location,CRITICAL,location,Bermondsey Beer Mile (SE1),Bermondsey Beer Mile (SE1),'Bermondsey Beer Mile' not in approved neighborhoods list
112,Miller’s Way Project – Pay It Forward Sound Therapy,Location,CRITICAL,location,"Shepherd’s Bush, West London",Shepherd’s Bush,Contains borough/area format
112,Miller’s Way Project – Pay It Forward Sound Therapy,Location,CRITICAL,location,"Shepherd’s Bush, West London","Shepherd’s Bush, West London",'Shepherd’s Bush' not in approved neighborhoods list
114,Mysteries of the Tarot with Richard Abbot,Location,CRITICAL,location,Various venues (often Camden or online),Various venues (often Camden or online),'Various venues' not in approved neighborhoods list
115,Neon Naked Life Drawing,Location,CRITICAL,location,"Multiple venues across London (e.g. The Queenâ€™s Head, The Book Club, Peckham Levels)","Multiple venues across London (e.g. The Queenâ€™s Head, The Book Club, Peckham Levels)",'Multiple venues across London' not in approved neighborhoods list
116,New River Studios,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
116,New River Studios,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
117,Night Street Art Photography Workshop â€“ Shoreditch Street Art Tours,Location,CRITICAL,location,"Shoreditch, East London (various street-art locations)",Shoreditch,Contains borough/area format
118,Old Bexley Soap & Candle Co. â€“ Candle & Soap Courses,Location,CRITICAL,location,"Instituto Cervantes, 15â€‘19 Devereux Court, The Strand (WC2R 3JJ)","Instituto Cervantes, 15â€‘19 Devereux Court, The Strand (WC2R 3JJ)",'Instituto Cervantes' not in approved neighborhoods list
119,Orange Tree Theatre,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
119,Orange Tree Theatre,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
123,Phantom Peak,Location,CRITICAL,location,Canada Water,Canada Water,'Canada Water' not in approved neighborhoods list
124,Phoenix Cinema,Location,CRITICAL,location,East Finchley,East Finchley,'East Finchley' not in approved neighborhoods list
125,Phonox,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
125,Phonox,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
128,Poetry CafÃ©,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
128,Poetry CafÃ©,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
129,Pole Mission Dance Studio,Location,CRITICAL,location,"First Floor, 80a Dean Street, Soho W1D 3SL","First Floor, 80a Dean Street, Soho W1D 3SL",'First Floor' not in approved neighborhoods list
131,Print Club London,Location,CRITICAL,location,"10â€“28 Clement Road, Hackney (E9 5EU)","10â€“28 Clement Road, Hackney (E9 5EU)",'10â€“28 Clement Road' not in approved neighborhoods list
134,Rick Nodine Contact Improvisation Classes & Jam,Location,CRITICAL,location,"Acland Burghley School Sports Centre, Tufnell Park (North London)","Acland Burghley School Sports Centre, Tufnell Park (North London)",'Acland Burghley School Sports Centre' not in approved neighborhoods list
137,Rose Theatre,Location,CRITICAL,location,Kingston,Kingston,'Kingston' not in approved neighborhoods list
137,Rose Theatre,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
137,Rose Theatre,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
139,Royal Docks Swim Series (RDSS) Evening Swim,Location,CRITICAL,location,"Love Open Water London Royal Docks, Dock Road, E16 1AH","Love Open Water London Royal Docks, Dock Road, E16 1AH",'Love Open Water London Royal Docks' not in approved neighborhoods list
140,Rule Zero,Location,CRITICAL,location,Stratford & Hackney Wick,Stratford,Contains compound delimiter (& or /)
140,Rule Zero,Location,CRITICAL,location,Stratford & Hackney Wick,Stratford & Hackney Wick,'Stratford & Hackney Wick' not in approved neighborhoods list
141,Sacred Geometry & Alchemy with Golden Light,Location,CRITICAL,location,"The Light Centre, Moorgate, London EC2Y 5EB","The Light Centre, Moorgate, London EC2Y 5EB",'The Light Centre' not in approved neighborhoods list
142,Sadler's Wells,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
142,Sadler's Wells,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
143,Sanctuary Singing Circle,Location,CRITICAL,location,"King’s Cross, London","King’s Cross, London",'King’s Cross' not in approved neighborhoods list
144,Sandrine Bettinelli â€“ 'Embrace the Journey' Tantra Workshop,Location,CRITICAL,location,"Anatomie Studio, arch 113, Unit 17 Station Passage, Peckham SE15 2JR","Anatomie Studio, arch 113, Unit 17 Station Passage, Peckham SE15 2JR",'Anatomie Studio' not in approved neighborhoods list
147,She's Lost Control â€“ Ritual & Spiritual Workshops,Location,CRITICAL,location,"42 Valentine Road, London E9 7AD","42 Valentine Road, London E9 7AD",'42 Valentine Road' not in approved neighborhoods list
149,Siobhan Davies Studios,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
149,Siobhan Davies Studios,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
151,Social Pottery â€“ Hand-Build & Decorate Ceramics Workshop,Location,CRITICAL,location,"221â€“223 Royal College Street, Camden Town (NW1 9LT)","221â€“223 Royal College Street, Camden Town (NW1 9LT)",'221â€“223 Royal College Street' not in approved neighborhoods list
153,Sole2Soul – Open Floor Movement & Embodied Voice,Location,CRITICAL,location,Various London venues (Creating Connexions),Various London venues (Creating Connexions),'Various London venues' not in approved neighborhoods list
154,Sonsoles Print Studio,Location,CRITICAL,location,"Unit 4, Ground Floor, 133 Copeland Road, Peckham (SE15 3SN)","Unit 4, Ground Floor, 133 Copeland Road, Peckham (SE15 3SN)",'Unit 4' not in approved neighborhoods list
155,South London Gallery,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
155,South London Gallery,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
157,Spiritland,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
157,Spiritland,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
160,Stanley Arts,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
160,Stanley Arts,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
162,Studio KÃ¼hÃ¼,Location,CRITICAL,location,East London (exact address shared upon booking),East London,Contains borough/area format
162,Studio KÃ¼hÃ¼,Location,CRITICAL,location,East London (exact address shared upon booking),East London (exact address shared upon booking),'East London' not in approved neighborhoods list
163,Studio Pottery London â€“ Hand-Building Pottery Course,Location,CRITICAL,location,"29 Eccleston Place, Victoria (SW1W 9NF)","29 Eccleston Place, Victoria (SW1W 9NF)",'29 Eccleston Place' not in approved neighborhoods list
165,Tara Theatre,Location,CRITICAL,location,Earlsfield,Earlsfield,'Earlsfield' not in approved neighborhoods list
165,Tara Theatre,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
165,Tara Theatre,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
166,Tea & Tasseomancy â€“ Divination by the Cup,Location,CRITICAL,location,Rotating venues (often East London cafes),Rotating venues (often East London cafes),'Rotating venues' not in approved neighborhoods list
169,The Betsey Trotwood,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
169,The Betsey Trotwood,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
173,The College of Psychic Studies â€“ Esoteric Courses,Location,CRITICAL,location,"16 Queensberry Place, South Kensington, London SW7 2EB","16 Queensberry Place, South Kensington, London SW7 2EB",'16 Queensberry Place' not in approved neighborhoods list
174,The Fermentarium (Festive Lactic Fermentation Workshop),Location,CRITICAL,location,"Hornbeam CafÃ©, Walthamstow (E17)","Hornbeam CafÃ©, Walthamstow (E17)",'Hornbeam CafÃ©' not in approved neighborhoods list
175,The Fermentarium (Kimchi Masterclass),Location,CRITICAL,location,"Hornbeam CafÃ©, Walthamstow (E17)","Hornbeam CafÃ©, Walthamstow (E17)",'Hornbeam CafÃ©' not in approved neighborhoods list
177,The Ginger Pig â€” Sausage Making Class,Location,CRITICAL,location,Borough Market (SE1),Borough Market (SE1),'Borough Market' not in approved neighborhoods list
181,The Last Tuesday Society â€” Scrying Workshop with Lucya Starza,Location,CRITICAL,location,"Viktor Wynd's Museum of Curiosities, 11 Mare Street, Hackney","Viktor Wynd's Museum of Curiosities, 11 Mare Street, Hackney",'Viktor Wynd's Museum of Curiosities' not in approved neighborhoods list
182,The Last Tuesday Society â€” Wicked Wednesdays: Tarot Readings with Tobias,Location,CRITICAL,location,"The Absinthe Parlour, 11 Mare Street, Hackney","The Absinthe Parlour, 11 Mare Street, Hackney",'The Absinthe Parlour' not in approved neighborhoods list
183,The Lexi Cinema,Location,CRITICAL,location,Kensal Rise,Kensal Rise,'Kensal Rise' not in approved neighborhoods list
184,The Lexington,Location,CRITICAL,location,Angel / King's Cross (Islington),Angel,Contains compound delimiter (& or /)
184,The Lexington,Location,CRITICAL,location,Angel / King's Cross (Islington),Angel / King's Cross (Islington),'Angel / King's Cross' not in approved neighborhoods list
185,The London Leather Workshop,Location,CRITICAL,location,"Woolwich Dockyard, SE18 5NR (Southâ€‘east London)","Woolwich Dockyard, SE18 5NR (Southâ€‘east London)",'Woolwich Dockyard' not in approved neighborhoods list
186,The London Loom,Location,CRITICAL,location,"Hackney Downs Studios, 17 Amhurst Terrace, Hackney (E8 2BT)","Hackney Downs Studios, 17 Amhurst Terrace, Hackney (E8 2BT)",'Hackney Downs Studios' not in approved neighborhoods list
195,The Space,Location,CRITICAL,location,Isle of Dogs,Isle of Dogs,'Isle of Dogs' not in approved neighborhoods list
199,Therapeutic Yoga Community Group – Jane O’Rourke,Location,CRITICAL,location,"Down to Earth Yoga, N19","Down to Earth Yoga, N19",'Down to Earth Yoga' not in approved neighborhoods list
202,Treadwellâ€™s Bookshop â€“ Witchcraft Classes,Location,CRITICAL,location,"33 Store Street, Fitzrovia, London WC1E 7BS","33 Store Street, Fitzrovia, London WC1E 7BS",'33 Store Street' not in approved neighborhoods list
203,TT London â€“ Whisky Tasting Experience,Location,CRITICAL,location,Studios in North London (N7),Studios in North London,Contains borough/area format
203,TT London â€“ Whisky Tasting Experience,Location,CRITICAL,location,Studios in North London (N7),Studios in North London (N7),'Studios in North London' not in approved neighborhoods list
204,Turner & George â€” Beef Butchery Class,Location,CRITICAL,location,"Turner & George Butcher Shop, Clerkenwell (EC1)",Turner,Contains compound delimiter (& or /)
204,Turner & George â€” Beef Butchery Class,Location,CRITICAL,location,"Turner & George Butcher Shop, Clerkenwell (EC1)","Turner & George Butcher Shop, Clerkenwell (EC1)",'Turner & George Butcher Shop' not in approved neighborhoods list
205,Umbrella Workshop â€“ Irish Whiskey Tasting,Location,CRITICAL,location,"The Umbrella Workshop, Shoreditch (E2)","The Umbrella Workshop, Shoreditch (E2)",'The Umbrella Workshop' not in approved neighborhoods list
207,Viktor Wynd Museum,Blurb,CRITICAL,blurb,...,Expand or condense to 50-120 words,Blurb is missing
207,Viktor Wynd Museum,Required Fields,CRITICAL,multiple,N/A,Add missing required fields,Missing: blurb
210,We Make Books,Location,CRITICAL,location,"V22 Studio, 3â€“9 Belfast Road, Stoke Newington (N16 6UN)","V22 Studio, 3â€“9 Belfast Road, Stoke Newington (N16 6UN)",'V22 Studio' not in approved neighborhoods list
211,Wheel of Consent Weekend Workshop,Location,CRITICAL,location,Private studio in London (exact location shared with participants upon booking),Private studio in London (exact location shared with participants upon booking),'Private studio in London' not in approved neighborhoods list
212,Wild Food UK â€“ Foraging Courses,Location,CRITICAL,location,Hampstead Heath (various locations),Hampstead Heath (various locations),'Hampstead Heath' not in approved neighborhoods list
214,Witchy Women â€“ Candle Magic & Spellwork Classes,Location,CRITICAL,location,Studio in Hackney Wick (exact location shared upon booking),Studio in Hackney Wick (exact location shared upon booking),'Studio in Hackney Wick' not in approved neighborhoods list
215,Wonders of the Dark Sky â€“ Woodoaks Farm Stargazing,Location,CRITICAL,location,"Woodoaks Farm, Maple Cross, Hertfordshire (north-west Greater London)","Woodoaks Farm, Maple Cross, Hertfordshire (north-west Greater London)",'Woodoaks Farm' not in approved neighborhoods list
218,Corsica Studios,Location,CRITICAL,location,Elephant & Castle,Elephant,Contains compound delimiter (& or /)
239,Club Are,Location,CRITICAL,location,East London,East London,'East London' not in approved neighborhoods list
240,Club Stamina,Location,CRITICAL,location,Various London,Various London,'Various London' not in approved neighborhoods list
241,MAS ARTS,Location,CRITICAL,location,Pop-up locations,Pop-up locations,'Pop-up locations' not in approved neighborhoods list
242,2C Perrea,Location,CRITICAL,location,East/South London,East/South London,'East/South London' not in approved neighborhoods list
